,Requirements,,,,,,Normal +10/+5,,,,,Auxiliary Damage,,,Scaling (+10/+5),,,,,,,,,,,
Weapon,STR,DEX,INT,FTH,Units,Crit,Phy,Magic,Fire,Light,Dark,Bleed,Poison,Frost,S,Dx,I,F,Weapon Type,Damage Type,Skill,Spell Buff,Buffable,Upgrade Material,AR,Notes
Battle Axe,12,8,,,4,100,250,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,433,
Man Serpent Hatchet,16,13,,,4,100,250,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,433,
Brigand Axe,14,8,,,3,100,248,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,432,
Winged Knight Twinaxes,20,12,,,8.5,100,244,,,,,,,,C,D,,,Axe,Standard,Chain Spin,,Y,Titanite,423,
Eleonora,20,8,,,6.5,100,284,,,,,,,,D,D,,,Axe,Standard,Feast Bell,,N,Titanite,421,
Hand Axe,9,8,,,2.5,100,220,,,,,,,,C,D,,,Axe,Standard,Warcry,,Y,Titanite,404,
Butcher Knife,24,,,,7,100,190,,,,,,,,S,,,,Axe,Slash,Sharpen,,N,Titanite,397,
Thrall Axe,8,8,,,1.5,100,208,,,,,,,,C,C,,,Axe,Standard,Quickstep,,Y,Titanite,384,
Dragonslayer's Axe,18,14,,,4,100,180,,,180,,,,,D,D,,,Axe,Standard,Warcry,,N,Twinkling,274,
Dragonrider Bow,19,15,,,6.5,100,200,,,,,,,,D,D,,,Bow,Projectile,Puncture,,N,Twinkling,296,
Composite Bow,12,12,,,3.5,100,146,,,,,,,,D,D,,,Bow,Projectile,Rapid Fire,,N,Titanite,247,
Black Bow of Pharis,9,18,,,3,100,134,,,,,,,,D,B,,,Bow,Projectile,Pharis Triple-Shot,,N,Titanite,246,
Longbow,9,14,,,4,100,164,,,,,,,,E,D,,,Bow,Projectile,Puncture,,N,Titanite,241,
Short Bow,7,12,,,2,100,154,,,,,,,,E,D,,,Bow,Projectile,Rapid Fire,,N,Titanite,228,
Darkmoon Longbow,7,16,10,,4.5,100,66,80,,,,,,,,E,B,,Bow,Projectile,Darkmoon Arrow,,N,Scale,79,
Manikin Claws,8,18,,,2,100,158,,,,,34,,,D,C,,,Claw,Slash,Quickstep,,Y,Titanite,275,
Claw,6,14,,,1.5,100,150,,,,,33,,,E,C,,,Claw,Slash,Leaping Slash,,Y,Titanite,260,
Arbalest,18,8,,,6,100,156,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,156,
Heavy Crossbow,14,8,,,4.5,100,144,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,144,
Sniper Crossbow,18,16,,,7.5,100,140,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,140,
Avelyn,16,14,,,7.5,100,128,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,128,
Light Crossbow,10,8,,,3,100,128,,,,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,128,
Knight's Crossbow,12,8,,,4,100,80,,,80,,,,,,,,,Crossbow,Projectile,Tackle,,N,Titanite,80,
Old Wolf Curved Sword,19,25,,,13,100,280,,,,,,,,D,B,,,Curved Greatsword,Slash,Wolf Leap,,Y,Twinkling,553,
Exile Greatsword,24,16,,,17,100,292,,,,,,,,C,C,,,Curved Greatsword,Slash,Spin Slash,,Y,Titanite,552,
Murakumo,20,18,,,11,100,270,,,,,,,,D,B,,,Curved Greatsword,Slash,Spin Slash,,Y,Titanite,539,
Carthus Curved Greatsword,18,22,,,10.5,100,244,,,,,38,,,D,B,,,Curved Greatsword,Slash,Spin Slash,,Y,Titanite,489,
Carthus Curved Sword,15,18,,,5.5,100,230,,,,,35,,,D,C,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,425,
Falchion,9,13,,,4,100,234,,,,,,,,D,C,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,405,
Pontiff Knight Curved Sword,12,18,10,,3.5,100,214,,,,,,,,C,D,,,Curved Sword,Slash,Frost Blade,,Y,Twinkling,393,
Carthus Shotel,12,19,,,3,100,212,,,,,34,,,D,B,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,374,
Storm Curved Sword,14,20,0,0,5,100,200,,,,,,,,D,B,,,Curved Sword,Slash,Tornado,,N,Scale,370,
Shotel,9,14,,,2.5,100,208,,,,,,,,,,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,367,
Rotten Ghru Curved Sword,10,13,,,2,100,206,,,,,,33,,,,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,363,
Sellsword Twinblades,10,16,,,5.5,100,198,,,,,,,,D,B,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,349,
Scimitar,7,13,,,2.5,100,180,,,,,,,,E,A,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,340,
Warden Twinblades,10,18,,,6.5,100,186,,,,,33,,,D,C,,,Curved Sword,Slash,Spin Slash,,Y,Titanite,334,
Painting Guardian's Curved Sword,7,19,,,1.5,100,176,,,,,35,,,E,A,,,Curved Sword,Slash,Chained Dance,,Y,Titanite,334,
Crescent Moon Sword,10,16,,,2.5,100,142,142,,,,,,,E,A,,,Curved Sword,Slash,Crescent Blade,,N,Twinkling,268,
Dancer's Enchanted Swords,12,20,9,9,8.5,100,144,144,144,,,,,,D,D,D,D,Curved Sword,Slash,Dancer's Grace,,N,Scale,260,
Corvian Greatknife,12,16,,,2.5,110,166,,,,,,,,D,D,,,Dagger,Slash/Thrust,Blind Spot,,Y,Titanite,218,
Tailbone Short Sword,8,14,,,2,110,164,,,,,,,,E,D,,,Dagger,Slash/Thrust,Unleash Dragon,,N,Twinkling,215,
Bandit's Knife,6,12,,,1.5,110,132,,,,,33,,,D,D,,,Dagger,Slash/Thrust,Quickstep,,Y,Titanite,208,
Mail Breaker,7,12,,,1.5,130,150,,,,,,,,E,D,,,Dagger,Slash/Thrust,Shield Splitter,,Y,Titanite,205,
Dagger,5,9,,,1.5,130,110,,,,,,,,E,B,,,Dagger,Slash/Thrust,Quickstep,,Y,Titanite,202,
Rotten Ghru Dagger,10,8,,,2,100,108,,,,,,34,,,,,,Dagger,Slash/Thrust,Quickstep,,Y,Titanite,193,
Scholar's Candlestick,7,7,,,1.5,110,116,,,,,,,,E,C,,,Dagger,Slash/Thrust,Guiding Light,,Y,Twinkling,191,
Handmaid's Dagger,4,8,,,0.5,110,144,,,,,,,,D,D,,,Dagger,Slash/Thrust,Blind Spot,,N,Titanite,190,
Brigand Twindaggers,10,18,,,2.5,110,110,,,,,,,,D,D,,,Dagger,Slash/Thrust,Quickstep,,Y,Titanite,190,
Harpe,8,10,,,1.5,100,104,,,,,,,,E,B,,,Dagger,Slash/Thrust,Quickstep,,Y,Titanite,186,
Parrying Dagger,5,14,,,1,110,100,,,,,,,,E,B,,,Dagger,Slash/Thrust,Parry,,Y,Titanite,180,
Caestus,5,8,,,0.5,100,160,,,,,,,,C,C,,,Fist,Strike,Perseverence,,Y,Titanite,294,
Demon's Fist,20,8,9,9,8,100,170,,140,,,,,,C,,E,E,Fist,Strike,Flame Whirlwind,,N,Scale,258,
Dark Hand,,,,,0,100,77,,,,150,,,,E,E,C,C,Fist,Strike,Lifedrain,,N,Twinkling,124,
Smough's Great Hammer,45,,,,24,100,358,,,,,,,,B,,,,Great Hammer,Strike,Perseverence,,N,Twinkling,591,
Morne's Great Hammer,50,,,30,24,100,348,,,,,,,,B,,,,Great Hammer,Strike,Morne's Rage,,N,Twinkling,574,
Dragon Tooth,40,,,,21,100,342,,,,,,,,B,,,,Great Hammer,Strike,Perseverence,,N,Scale,568,
Vordt's Great Hammer,30,,,,17,100,320,,,,,,,,B,,,,Great Hammer,Strike,Perseverence,,N,Scale,524,
Great Club,28,,,,12,100,304,,,,,,,,B,,,,Great Hammer,Strike,Warcry,,Y,Titanite,517,
Old King's Great Hammer,30,,10,10,18.5,100,328,,126,,,,,,C,,D,D,Great Hammer,Strike,Molten Perseverance,,N,Scale,527,
Great Mace,32,,,,18,100,346,,,,,,,,C,,,,Great Hammer,Strike,Perseverence,,Y,Titanite,491,
Spiked Mace,21,13,,,16,100,298,,,,,33,,,B,,,,Great Hammer,Strike,Spin Bash,,Y,Titanite,485,
Large Club,22,,,,10,100,296,,,,,,,,B,,,,Great Hammer,Strike,Warcry,,Y,Titanite,476,
Pickaxe,18,9,,,8,100,280,,,,,,,,B,,,,Great Hammer,Thrust,Galvanize,,Y,Titanite,453,
Gargoyle Flame Hammer,22,,9,9,11,100,244,,200,,,,,,C,,D,D,Great Hammer,Strike,Kindled Flurry,,N,Twinkling,394,
Great Wooden Hammer,18,,,,6,100,206,,,,,,,,,,,,Great Hammer,Strike,Spin Bash,,Y,Titanite,337,
Black Knight Greataxe,36,18,,,19.5,100,376,,,,,,,,C,D,,,Greataxe,Standard,Warcry,,N,Twinkling,695, + 20% Damage to Demons
Yhorm's Great Machete,38,10,,,19,100,338,,,,,,,,A,,,,Greataxe,Standard,Warcry,,N,Scale,614,
Greataxe,32,8,,,16,100,376,,,,,,,,C,E,,,Greataxe,Standard,Warcry,,Y,Titanite,612,
Dragonslayer Greataxe,40,,,,20,100,370,,,136,,,,,C,E,,D,Greataxe,Standard,Falling Bolt,,N,Scale,623,
Great Machete,24,12,,,14,100,334,,,,,,,,C,D,,,Greataxe,Slash,Sharpen,,Y,Titanite,544,
Demon's Greataxe,28,,12,12,14.5,100,286,,160,,,,,,B,E,D,D,Greataxe,Standard,Demonic Flare,,N,Scale,541,
Dragonslayer Greatbow,20,20,,,10,100,220,,,,,,,,D,C,,,Greatbow,Projectile,Puncturing Arrow,,N,Twinkling,416,
Onislayer Greatbow,18,24,,,7.5,100,194,,,,,,,,D,B,,,Greatbow,Projectile,Puncturing Arrow,,N,Twinkling,348,
Hollowslayer Greatsword,14,18,,,8.5,100,264,,,,,,,,D,C,,,Greatsword,Standard/Thrust,Stance,,N,Scale,516,
Claymore,16,13,,,9,100,276,,,,,,,,C,D,,,Greatsword,Standard/Thrust,Stance,,Y,Titanite,493,
Bastard Sword,16,10,,,8,100,276,,,,,,,,C,D,,,Greatsword,Standard,Stomp,,Y,Titanite,493,
Black Knight Sword,20,18,,,10,100,272,,,,,,,,C,D,,,Greatsword,Standard/Thrust,Perseverence,,N,Twinkling,489, + 20% Damage to Demons
Executioner's Greatsword,19,13,,,9,100,262,,,,,,,,,,,,Greatsword,Strike,Stomp,,Y,Titanite,484,
Wolf Knight's Greatsword,24,18,,,11.5,100,230,,,,,,,,C,C,,,Greatsword,Standard/Thrust,Wolfsword,,N,Scale,473,
Storm Ruler,0,0,,,10,100,260,,,,,,,,C,D,,,Greatsword,Standard,Storm King,,N,Twinkling,451,
Flamberge,15,14,,,8.5,100,288,,,,,33,,,D,D,,,Greatsword,Slash,Stance,,Y,Titanite,427,
Wolnir's Holy Sword,13,13,,13,7.5,100,250,,,,,,,,D,C,,,Greatsword,Standard,Wrath of the Gods,,N,Scale,423,
Twin Princes' Greatsword,22,14,,,9.5,100,216,,134,,,,,,D,D,D,D,Greatsword,Standard,Sacred Light and Flame,,N,Scale,380,
Firelink Greatsword,20,10,10,10,9,100,218,,146,,,,,,D,D,,,Greatsword,Standard,Ember,,N,Scale,355,
Greatsword of Judgement,17,15,12,,9,100,184,122,,,,,,,D,D,D,,Greatsword,Standard,Stance of Judgement,,N,Scale,331,
Drakeblood Greatsword,18,16,,,6,100,166,130,,130,,,,,D,D,,,Greatsword,Standard/Thrust,Stance,,Y,Titanite,270,
Moonlight Greatsword,16,11,26,,10.5,100,144,200,,,,,,,D,E,C,,Greatsword,Standard,Moonlight Vortex,,N,Scale,199,
Black Knight Glaive,28,18,,,9,100,278,,,,,,,,D,C,,,Halberd,Standard,Spin Sweep,,N,Twinkling,499, + 20% Damage to Demons
Gundyr's Halberd,30,15,,,13,100,264,,,,,,,,B,E,,,Halberd,Standard,Champion's Charge,,N,Scale,477,
Red Hilted Halberd,14,14,,,8,100,260,,,,,,,,D,C,,,Halberd,Standard/Thrust,Perseverence,,Y,Titanite,464,
Winged Knight Halberd,26,16,,,14,100,290,,,,,,,,C,D,,,Halberd,Standard/Thrust,Chain Spin,,Y,Titanite,460,
Halberd,16,12,,,8,100,250,,,,,,,,D,C,,,Halberd,Standard/Thrust,Charge,,Y,Titanite,460,
Lucerne,15,13,,,7.5,100,252,,,,,,,,D,C,,,Halberd,Thrust,Spin Sweep,,Y,Titanite,453,
Glaive,17,11,,,11,100,282,,,,,,,,C,D,,,Halberd,Slash,Spin Sweep,,Y,Titanite,447,
Crescent Axe,14,12,,,6,100,238,,,,,,,,D,C,,,Halberd,Slash,Warcry,,Y,Titanite,427,
Immolation Tinder,18,18,12,12,10,100,206,,132,,,,,,D,C,A,,Halberd,Thrust,Punitive Flame,,N,Twinkling,402,
Mace,12,7,,,5,100,230,,,,,,,,,,,,Hammer,Strike,Perseverence,,Y,Titanite,399,
Warpick,12,10,,,,100,226,,,,,,,,C,D,,,Hammer,Thrust,Galvanize,,Y,Titanite,392,
Morning Star,11,9,,,5,100,244,,,,,33,,,,,,,Hammer,Strike,Perseverence,,Y,Titanite,374,
Reinforced Club,12,,,,5,100,220,,,,,,,,B,,,,Hammer,Strike,Warcry,,Y,Titanite,372,
Drang Hammers,18,16,,,9,100,220,,,,,,,,C,E,,,Hammer,Strike,Spin Bash,,Y,Titanite,370,
Club,10,,,,2.5,100,216,,,,,,,,B,,,,Hammer,Strike,Warcry,,Y,Titanite,363,
Blacksmith Hammer,13,13,,,5,100,210,,,,,,,,B,,,,Hammer,Strike,Perseverence,,Y,Titanite,340,
Heysel Pick,12,10,19,,4.5,100,162,122,,,,,,,D,E,B,,Hammer,Strike,Steady Chant,,N,Twinkling,250,
Washing Pole,18,20,,,8.5,100,252,,,,,33,,,D,C,,,Katana,Slash/Thrust,Hold,,Y,Titanite,437,
Black Blade,18,18,,,6.5,100,244,,,,,33,,,D,C,,,Katana,Slash/Thrust,Hold,,Y,Titanite,423,
Chaos Blade,16,14,,,6,100,180,,,,,35,,,E,S,,,Katana,Slash/Thrust,Hold,,N,Twinkling,420,
Onikiri and Ubadachi,13,25,,,8.5,100,208,,,,,35,,,C,C,,,Katana,Slash/Thrust,Onislayer,,Y,Titanite,406,
Uchigatana,11,16,,,5.5,100,230,,,,,34,,,D,C,,,Katana,Slash/Thrust,Hold,,Y,Titanite,399,
Darkdrift,10,28,,,3.5,100,226,,,,,33,,,D,C,,,Katana,Slash/Thrust,Darkdrift,,Y,Twinkling,370,
Bloodlust,11,24,,,5,100,184,,,,,34,,,E,A,,,Katana,Slash/Thrust,Bloodlust,,N,Twinkling,348,
Irithyll Rapier,10,16,,,3,110,202,,,,,,,35,C,C,,,Piercing Sword,Thrust,Shield Splitter,,N,Twinkling,395,
Estoc,10,12,,,3.5,100,210,,,,,,,,D,C,,,Piercing Sword,Standard/Thrust,Shield Splitter,,Y,Titanite,375,
Ricard's Rapier,8,20,,,2.5,100,194,,,,,,,,D,B,,,Piercing Sword,Thrust,Richard's Lunge and Press,,Y,Titanite,358,
Rapier,7,12,,,2,110,190,,,,,,,,,B,,,Piercing Sword,Thrust,Stance,,Y,Titanite,349,
Crystal Sage's Rapier,13,18,,,,100,100,150,,,,,,,D,D,A,,Piercing Sword,Thrust,Stance,,N,Scale,148,Item Discovery +50
Great Corvian Scythe,16,18,,,9,100,194,,,,,36,,,C,B,,,Reaper,Slash,Neck Swipe,,Y,Titanite,409,
Pontiff Knight Great Scythe,14,19,,,7.5,100,174,,,,,,,,,S,,,Reaper,Slash,Frost,,N,Twinkling,402,
Great Scythe,14,14,,,7,100,210,,,,,33,,,D,B,,,Reaper,Slash,Neck Swipe,,Y,Titanite,386,
Caitha's Chime,3,,12,12,0.5,100,130,,,,,,,,D,,A,A,Sacred Chime,Strike,Gentle Prayer,20,N,Twinkling,209,
Crystal Chime,3,,18,18,0.5,100,128,,,,,,,,D,,C,C,Sacred Chime,Strike,Gentle Prayer,20,N,Twinkling,184,
Yorshka's Chime,3,,,30,0.5,100,123,,,,,,,,D,,,S,Sacred Chime,Strike,Gentle Prayer,60,N,Titanite,193,
Cleric's Sacred Chime,3,,,14,0.5,100,118,,,,,,,,D,,,S,Sacred Chime,Strike,Gentle Prayer,100,N,Titanite,181,
Priest's Chime,3,,,10,0.5,100,117,,,,,,,,D,,,A,Sacred Chime,Strike,Gentle Prayer,60,N,Titanite,176,
Saint-tree Bellvine,3,,,18,0.5,100,117,,,,,,,,D,,,A,Sacred Chime,Strike,Gentle Prayer,100,N,Titanite,169,
Greatlance,21,16,,,10.5,100,258,,,,,,,,,,,,Spear,Thrust,Charge,,Y,Titanite,450,
Dragonslayer Swordspear,16,22,,18,14.5,100,234,,,62,,,,,D,C,,C,Spear,Standard/Thrust,Falling Bolt,,N,Scale,459,
Lothric Knight Long Spear,14,20,,,8,100,224,,,,,,,,D,C,,,Spear,Thrust,Charge,,Y,Titanite,414,Increased Poise
Partizan,14,12,,,6.5,100,216,,,,,,,,D,C,,,Spear,Standard/Thrust,Spin Sweep,,Y,Titanite,399,
Arstor's Spear,11,19,,,6.5,100,216,,,,,,33,,D,B,,,Spear,Thrust,Shield Splitter,,Y,Titanite,397,
Dragonslayer Spear,20,20,,,9.5,100,198,,,122,,,,,D,B,,D,Spear,Thrust,Lighting Charge,,N,Twinkling,402,
Winged Spear,12,15,,,6,100,190,,,,,,,,C,B,,,Spear,Thrust,Charge,,Y,Titanite,389,
Four-Pronged Plow,13,11,,,8.5,100,210,,,,,,,,D,C,,,Spear,Thrust,Charge,,Y,Titanite,388,
Pike,18,14,,,7.5,100,210,,,,,,,,,,,,Spear,Thrust,Charge,,Y,Titanite,388,
Rotten Ghru Spear,10,12,,,5.5,100,208,,,,,,34,,,,,,Spear,Thrust,Charge,,Y,Titanite,384,
Spear,11,10,,,4.5,100,208,,,,,,,,D,C,,,Spear,Thrust,Shield Splitter,,Y,Titanite,384,
Drang Twinspears,14,20,,,8,100,200,,,,,,,,D,C,,,Spear,Standard/Thrust,Charge,,Y,Titanite,368,
Tailbone Spear,13,15,,,4.5,100,216,,,,,,,,,,,,Spear,Thrust,Unleash Dragon,,N,Twinkling,354,
Yorshka's Spear,18,14,,,6.5,100,172,,,,,,,,,,,,Spear,Strike/Thrust,Pacify,,N,Twinkling,345,
Gargoyle Flame Spear,15,18,9,9,9.5,100,206,,180,,,,,,D,D,D,D,Spear,Thrust,Kindled Charge,,N,Twinkling,344,
Saint Bident,12,12,,16,8.5,100,196,,,,,,,,D,D,,D,Spear,Thrust,Charge,,Y,Titanite,268,Faith scaling adds phyiscal damage
Golden Ritual Spear,10,10,18,14,3,100,128,134,,,,,,,,,,,Spear,Thrust,Steady Chant,,N,Twinkling,234,
Soldering Iron,10,12,,,5,100,78,,192,,,,,,D,C,,,Spear,Standard,Charge,,N,Titanite,132,
Izalith Staff,12,,14,10,3,100,210,,,,,,,,D,D,A,C,Staff,Strike,Steady Chant,130,N,Twinkling,405,
Archdecon Great Staff,8,,12,12,2.5,100,156,,,,,,,,D,,,S,Staff,Strike,Steady Chant,20,N,Twinkling,243,
Sage's Crystal Staff,7,,24,,2.5,100,154,,,,,,,,,,,,Staff,Strike,Steady Chant,130,N,Scale,207,
Man-Grub's Staff,9,,18,,3,100,158,,,,,,,,D,,,,Staff,Strike,Steady Chant,100,N,Twinkling,192,Scales with Luck
Heretic's Staff,8,,16,,3,100,142,,,,,,,,D,,A,,Staff,Strike,Steady Chant,120,N,Titanite,195,
Court Sorcerer's Staff,6,,14,,2,100,135,,,,,,,,D,,S,,Staff,Strike,Steady Chant,60,N,Titanite,187,
Storyteller's Staff,6,,12,,2.5,100,136,,,,,,,,D,,A,,Staff,Strike,Poison Spore,60,N,Titanite,185,
Sorcerer's Staff,6,,10,,2,100,135,,,,,,,,D,,A,,Staff,Strike,Steady Chant,100,N,Titanite,185,
Mendicant's Staff,7,,18,,2.5,100,135,,,,,,,,D,,A,,Staff,Strike,Steady Chant,60,N,Titanite,183,Souls+ 20%
Witch Tree Branch,7,,18,,2,100,129,,,,,,,,D,,B,,Staff,Strike,Steady Chant,60,N,Titanite,170,
Sunlight Straight Sword,12,12,,16,3,100,196,,,,,,,,B,B,,,Straight Sword,Standard/Thrust,Oath of Light,,Y,Twinkling,442,
Dark Sword,16,15,,,4.5,100,230,,,,,,,,C,D,,,Straight Sword,Standard/Thrust,Stomp,,Y,Titanite,437,
Broadsword,10,10,,,3,100,234,,,,,,,,C,D,,,Straight Sword,Standard,Stance,,Y,Titanite,433,
Longsword,10,10,,,3,100,220,,,,,,,,C,D,,,Straight Sword,Slash/Thrust,Stance,,Y,Titanite,416,
Lothric Knight Sword,11,18,,,4,110,206,,,,,,,,C,C,,,Straight Sword,Standard/Thrust,Stance,,Y,Titanite,402,
Barbed Straight Sword,11,11,,,3,100,222,,,,,41,,,C,D,,,Straight Sword,Standard/Thrust,Stance,,Y,Titanite,399,
Morion Blade,12,17,,,4,100,228,,,,,33,,,C,D,,,Straight Sword,Standard/Thrust,Stance,,N,Scale,397,
Irithyll Straight Sword,12,14,,,4,100,216,,,,,,,35,C,D,,,Straight Sword,Standard/Thrust,Stance,,N,Twinkling,388,
Shortsword,8,10,,,2,110,198,,,,,,,,C,C,,,Straight Sword,Standard/Thrust,Stance,,Y,Titanite,387,
Astora Straight Sword,10,10,,12,3,100,258,,,,,,,,D,D,,,Straight Sword,Standard/Thrust,Stance,,Y,Titanite,382,
Gotthard Twinswords,12,18,,,6.5,100,200,,,,,,,,C,C,,,Straight Sword,Standard/Thrust,Spin Slash,,Y,Titanite,378,
Lothric's Holy Sword,10,18,,14,4,100,196,,,,,,,,D,C,,,Straight Sword,Standard/Thrust,Sacred Lothric Light,,N,Scale,362,
Anri's Straight Sword,10,10,,,3,100,204,,,,,,,,D,D,,E,Straight Sword,Standard/Thrust,Stance,,Y,Twinkling,291,Scales with Luck
Broken Straight Sword,8,8,,,1,100,140,,,,,,,,C,D,,,Straight Sword,Standard,Stance,,Y,Titanite,242,
Cleric's Candlestick,8,12,,12,2,100,115,126,,,,,,,D,D,A,,Straight Sword,Standard/Thrust,Guiding Light,,Y,Titanite,185,
Sunless Talisman,4,,,24,0.5,100,130,,,,,,,,D,,A,A,Talisman,Strike,Unfaltering Prayer,60,N,Twinkling,207,
White Hair Talisman,4,,,16,0.5,100,128,,138,,,,,,D,,D,C,Talisman,Strike,Combustion,20,N,Twinkling,180,Casts Pyromancies and Miracles
Saint's Talisman,4,,,16,0.5,100,120,,,,,,,,D,,,S,Talisman,Strike,Unfaltering Prayer,100,N,Titanite,187,
Sunlight Talisman,4,,,14,0.5,100,120,,,,,,,,D,,,A,Talisman,Strike,Unfaltering Prayer,60,N,Titanite,176,
Canvas Talisman,4,,,14,0.5,100,117,,,,,,,,D,,,A,Talisman,Strike,Unfaltering Prayer,112,N,Titanite,176,
Talisman,4,,,10,0.5,100,117,,,,,,,,D,,,A,Talisman,Strike,Unfaltering Prayer,100,N,Titanite,176,
Black Knight Greatsword,30,18,,,16,100,322,,,,,,,,B,D,,,Ultra Greatsword,Standard/Thrust,Stomp,,N,Twinkling,612, + 20% Damage to Demons
Profaned Greatsword,22,10,,,13.5,100,294,,,,,,,,C,C,,,Ultra Greatsword,Standard/Thrust,Profaned Flame,,N,Scale,605,
Greatsword,28,10,,,20,100,318,,,,,,,,C,C,,,Ultra Greatsword,Standard,Stomp,,Y,Titanite,601,
Fume Ultra Greatsword,50,10,,,25.5,100,260,,,,,,,,S,E,,,Ultra Greatsword,Strike,Stomp,,Y,Twinkling,563,
Zweihander,19,11,,,10,100,290,,,,,,,,C,D,,,Ultra Greatsword,Standard/Thrust,Stomp,,Y,Titanite,548,
Cathedral Knight Greatsword,26,10,,,15,100,298,,,,,,,,C,D,,,Ultra Greatsword,Strike/Thrust,Stomp,,Y,Titanite,535,
Astora Greatsword,16,18,,,8,100,264,,,,,,,,C,C,,,Ultra Greatsword,Standard/Thrust,Charge,,Y,Titanite,530,
Lorian's Greatsword,26,10,,,14,100,276,,144,,,,,,C,D,D,D,Ultra Greatsword,Strike/Thrust,Flame of Lorian,,N,Scale,535,
Farron Greatsword,18,20,,,12.5,100,228,,,,,,,,C,A,,,Ultra Greatsword,Standard/Thrust,Parry,,N,Scale,500,
Lothric Knight Greatsword,24,16,,,16.5,100,262,,,174,,,,,D,C,,,Ultra Greatsword,Standard/Thrust,Stomp,,Y,Titanite,471,
Spotted Whip,9,20,,,2.5,100,204,,,,,,33,,,,,,Whip,Slash,Impact,,Y,Titanite,300,
Whip,6,14,,,2,100,180,,,,,,,,,B,,,Whip,Slash,Impact,,Y,Titanite,293,
Notched Whip,6,19,,,2,100,190,,,,,33,,,,C,,,Whip,Slash,Impact,,Y,Titanite,279,
Witch's Locks,9,17,12,12,3,100,134,,140,,,,,,,D,B,B,Whip,Slash,Flame Whip,,N,Twinkling,220,